"GEO_ID","NAME","B01003_001E","B01003_001EA","B01003_001M","B01003_001MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total",
"8600000US00949","ZCTA5 00949","72943","null","935","null",
"8600000US00950","ZCTA5 00950","0","null","14","null",
"8600000US00951","ZCTA5 00951","0","null","14","null",
"8600000US00952","ZCTA5 00952","7598","null","907","null",
"8600000US00953","ZCTA5 00953","71174","null","804","null",
"8600000US00956","ZCTA5 00956","63264","null","2048","null",
"8600000US00957","ZCTA5 00957","38198","null","1798","null",
"8600000US00959","ZCTA5 00959","46441","null","2048","null",
"8600000US00960","ZCTA5 00960","2205","null","275","null",
"8600000US00961","ZCTA5 00961","29743","null","1392","null",
"8600000US00962","ZCTA5 00962","19082","null","590","null",
"8600000US00965","ZCTA5 00965","6709","null","754","null",
"8600000US00966","ZCTA5 00966","15254","null","1308","null",
"8600000US00968","ZCTA5 00968","3448","null","428","null",
"8600000US00969","ZCTA5 00969","41941","null","1859","null",
"8600000US00971","ZCTA5 00971","25925","null","1685","null",
"8600000US00976","ZCTA5 00976","58640","null","1317","null",
"8600000US00979","ZCTA5 00979","16130","null","1266","null",
"8600000US00982","ZCTA5 00982","14346","null","893","null",
"8600000US00983","ZCTA5 00983","33947","null","1735","null",
"8600000US00985","ZCTA5 00985","31682","null","1316","null",
"8600000US00987","ZCTA5 00987","54241","null","2284","null",
"8600000US01001","ZCTA5 01001","17312","null","735","null",
"8600000US01002","ZCTA5 01002","30014","null","485","null",
"8600000US01003","ZCTA5 01003","11357","null","477","null",
"8600000US01005","ZCTA5 01005","5128","null","404","null",
"8600000US01007","ZCTA5 01007","15005","null","20","null",
"8600000US01008","ZCTA5 01008","1140","null","178","null",
"8600000US01009","ZCTA5 01009","261","null","198","null",
"8600000US01010","ZCTA5 01010","3658","null","17","null",
"8600000US01011","ZCTA5 01011","1430","null","170","null",
"8600000US01012","ZCTA5 01012","585","null","124","null",
"8600000US01013","ZCTA5 01013","22733","null","1045","null",
"8600000US01020","ZCTA5 01020","30108","null","1098","null",
"8600000US01022","ZCTA5 01022","2586","null","413","null",
"8600000US01026","ZCTA5 01026","933","null","116","null",
"8600000US01027","ZCTA5 01027","17818","null","99","null",
"8600000US01028","ZCTA5 01028","16242","null","38","null",
"8600000US01029","ZCTA5 01029","538","null","164","null",
"8600000US01030","ZCTA5 01030","11384","null","733","null",
"8600000US01031","ZCTA5 01031","1135","null","198","null",
"8600000US01032","ZCTA5 01032","495","null","114","null",
"8600000US01033","ZCTA5 01033","6322","null","16","null",
"8600000US01034","ZCTA5 01034","2186","null","205","null",
"8600000US01035","ZCTA5 01035","5319","null","27","null",
"8600000US01036","ZCTA5 01036","5178","null","39","null",
"8600000US01037","ZCTA5 01037","747","null","197","null",
"8600000US01038","ZCTA5 01038","2734","null","160","null",
"8600000US01039","ZCTA5 01039","1207","null","167","null",
"8600000US01040","ZCTA5 01040","40241","null","59","null",
"8600000US01050","ZCTA5 01050","2438","null","214","null",
"8600000US01053","ZCTA5 01053","1593","null","239","null",
"8600000US01054","ZCTA5 01054","2001","null","159","null",
"8600000US01056","ZCTA5 01056","21291","null","23","null",
"8600000US01057","ZCTA5 01057","8824","null","99","null",
"8600000US01060","ZCTA5 01060","15948","null","532","null",
"8600000US01062","ZCTA5 01062","10364","null","518","null",
"8600000US01063","ZCTA5 01063","611","null","176","null",
"8600000US01066","ZCTA5 01066","31","null","48","null",
"8600000US01068","ZCTA5 01068","1833","null","102","null",
"8600000US01069","ZCTA5 01069","8556","null","510","null",
"8600000US01070","ZCTA5 01070","648","null","94","null",
"8600000US01071","ZCTA5 01071","1318","null","198","null",
"8600000US01072","ZCTA5 01072","1478","null","134","null",
"8600000US01073","ZCTA5 01073","6144","null","33","null",
"8600000US01074","ZCTA5 01074","411","null","405","null",
"8600000US01075","ZCTA5 01075","17703","null","38","null",
"8600000US01077","ZCTA5 01077","9720","null","25","null",
"8600000US01079","ZCTA5 01079","781","null","317","null",
"8600000US01080","ZCTA5 01080","2709","null","399","null",
"8600000US01081","ZCTA5 01081","1883","null","226","null",
"8600000US01082","ZCTA5 01082","10580","null","192","null",
"8600000US01083","ZCTA5 01083","3094","null","464","null",
"8600000US01084","ZCTA5 01084","168","null","45","null",
"8600000US01085","ZCTA5 01085","41780","null","185","null",
"8600000US01086","ZCTA5 01086","363","null","160","null",
"8600000US01088","ZCTA5 01088","509","null","150","null",
"8600000US01089","ZCTA5 01089","28609","null","42","null",
"8600000US01092","ZCTA5 01092","1278","null","394","null",
"8600000US01093","ZCTA5 01093","313","null","95","null",
"8600000US01094","ZCTA5 01094","387","null","116","null",
"8600000US01095","ZCTA5 01095","14728","null","64","null",
"8600000US01096","ZCTA5 01096","2443","null","244","null",
"8600000US01097","ZCTA5 01097","56","null","59","null",
"8600000US01098","ZCTA5 01098","1263","null","119","null",
"8600000US01103","ZCTA5 01103","2332","null","242","null",
"8600000US01104","ZCTA5 01104","23740","null","1149","null",
"8600000US01105","ZCTA5 01105","11841","null","929","null",
"8600000US01106","ZCTA5 01106","15987","null","102","null",
"8600000US01107","ZCTA5 01107","11562","null","970","null",
"8600000US01108","ZCTA5 01108","27054","null","1299","null",
"8600000US01109","ZCTA5 01109","30383","null","1351","null",
"8600000US01118","ZCTA5 01118","14830","null","742","null",
"8600000US01119","ZCTA5 01119","13681","null","1029","null",
"8600000US01128","ZCTA5 01128","2541","null","351","null",
"8600000US01129","ZCTA5 01129","6941","null","657","null",
"8600000US01151","ZCTA5 01151","9032","null","632","null",
"8600000US01199","ZCTA5 01199","0","null","12","null",
"8600000US01201","ZCTA5 01201","44458","null","304","null",
"8600000US01220","ZCTA5 01220","8179","null","66","null",
"8600000US01222","ZCTA5 01222","807","null","222","null",
"8600000US01223","ZCTA5 01223","2443","null","205","null",
"8600000US01224","ZCTA5 01224","125","null","68","null",
"8600000US01225","ZCTA5 01225","3105","null","67","null",
"8600000US01226","ZCTA5 01226","6769","null","90","null",
"8600000US01229","ZCTA5 01229","91","null","53","null",
"8600000US01230","ZCTA5 01230","8525","null","480","null",
"8600000US01235","ZCTA5 01235","2567","null","186","null",
"8600000US01236","ZCTA5 01236","1311","null","411","null",
"8600000US01237","ZCTA5 01237","2488","null","305","null",
"8600000US01238","ZCTA5 01238","5814","null","331","null",
"8600000US01240","ZCTA5 01240","4453","null","269","null",
"8600000US01242","ZCTA5 01242","471","null","253","null",
"8600000US01243","ZCTA5 01243","268","null","74","null",
"8600000US01244","ZCTA5 01244","132","null","89","null",
"8600000US01245","ZCTA5 01245","836","null","147","null",
"8600000US01247","ZCTA5 01247","15466","null","147","null",
"8600000US01253","ZCTA5 01253","769","null","102","null",
"8600000US01254","ZCTA5 01254","902","null","76","null",
"8600000US01255","ZCTA5 01255","891","null","125","null",
"8600000US01256","ZCTA5 01256","680","null","94","null",
"8600000US01257","ZCTA5 01257","2017","null","300","null",
"8600000US01258","ZCTA5 01258","488","null","145","null",
"8600000US01259","ZCTA5 01259","540","null","97","null",
"8600000US01260","ZCTA5 01260","427","null","347","null",
"8600000US01262","ZCTA5 01262","1005","null","304","null",
"8600000US01264","ZCTA5 01264","206","null","98","null",
"8600000US01266","ZCTA5 01266","1295","null","169","null",
"8600000US01267","ZCTA5 01267","7753","null","47","null",
"8600000US01270","ZCTA5 01270","796","null","108","null",
"8600000US01301","ZCTA5 01301","17617","null","66","null",
"8600000US01330","ZCTA5 01330","1276","null","142","null",
"8600000US01331","ZCTA5 01331","13486","null","158","null",
"8600000US01337","ZCTA5 01337","2532","null","171","null",
"8600000US01338","ZCTA5 01338","113","null","57","null",
"8600000US01339","ZCTA5 01339","1371","null","158","null",
"8600000US01340","ZCTA5 01340","1779","null","165","null",
"8600000US01341","ZCTA5 01341","1929","null","155","null",
"8600000US01342","ZCTA5 01342","1259","null","313","null",
"8600000US01343","ZCTA5 01343","78","null","51","null",
"8600000US01344","ZCTA5 01344","1380","null","161","null",
"8600000US01346","ZCTA5 01346","471","null","89","null",
"8600000US01347","ZCTA5 01347","154","null","129","null",
"8600000US01349","ZCTA5 01349","1391","null","266","null",
"8600000US01350","ZCTA5 01350","87","null","33","null",
"8600000US01351","ZCTA5 01351","2114","null","257","null",
"8600000US01354","ZCTA5 01354","1596","null","174","null",
"8600000US01355","ZCTA5 01355","931","null","109","null",
"8600000US01360","ZCTA5 01360","2981","null","15","null",
"8600000US01364","ZCTA5 01364","7729","null","38","null",
"8600000US01366","ZCTA5 01366","1188","null","147","null",
"8600000US01367","ZCTA5 01367","639","null","154","null",
"8600000US01368","ZCTA5 01368","1377","null","197","null",
"8600000US01370","ZCTA5 01370","3852","null","253","null",
"8600000US01373","ZCTA5 01373","4854","null","392","null",
"8600000US01375","ZCTA5 01375","3647","null","16","null",
"8600000US01376","ZCTA5 01376","5013","null","280","null",
"8600000US01378","ZCTA5 01378","792","null","112","null",
"8600000US01379","ZCTA5 01379","829","null","122","null",
"8600000US01420","ZCTA5 01420","40702","null","34","null",
"8600000US01430","ZCTA5 01430","6297","null","30","null",
"8600000US01431","ZCTA5 01431","3220","null","25","null",
"8600000US01432","ZCTA5 01432","7699","null","259","null",
"8600000US01434","ZCTA5 01434","1969","null","428","null",
"8600000US01436","ZCTA5 01436","3374","null","628","null",
"8600000US01438","ZCTA5 01438","694","null","506","null",
"8600000US01440","ZCTA5 01440","20610","null","26","null",
"8600000US01450","ZCTA5 01450","11313","null","28","null",
"8600000US01451","ZCTA5 01451","4731","null","333","null",
"8600000US01452","ZCTA5 01452","4708","null","21","null",
"8600000US01453","ZCTA5 01453","41647","null","75","null",
"8600000US01460","ZCTA5 01460","10071","null","23","null",
"8600000US01462","ZCTA5 01462","11402","null","23","null",
"8600000US01463","ZCTA5 01463","12105","null","24","null",
"8600000US01464","ZCTA5 01464","7633","null","20","null",
"8600000US01467","ZCTA5 01467","276","null","167","null",
"8600000US01468","ZCTA5 01468","4062","null","621","null",
"8600000US01469","ZCTA5 01469","7670","null","291","null",
"8600000US01473","ZCTA5 01473","7766","null","22","null",
"8600000US01474","ZCTA5 01474","1803","null","288","null",
"8600000US01475","ZCTA5 01475","10825","null","35","null",
"8600000US01501","ZCTA5 01501","16619","null","35","null",
"8600000US01503","ZCTA5 01503","3182","null","28","null",
"8600000US01504","ZCTA5 01504","9263","null","23","null",
"8600000US01505","ZCTA5 01505","4623","null","18","null",
"8600000US01506","ZCTA5 01506","3441","null","21","null",
"8600000US01507","ZCTA5 01507","13550","null","22","null",
"8600000US01510","ZCTA5 01510","13935","null","29","null",
"8600000US01515","ZCTA5 01515","2040","null","170","null",
"8600000US01516","ZCTA5 01516","8859","null","20","null",
"8600000US01518","ZCTA5 01518","3947","null","529","null",
"8600000US01519","ZCTA5 01519","7042","null","532","null",
"8600000US01520","ZCTA5 01520","15781","null","384","null",
"8600000US01521","ZCTA5 01521","2630","null","250","null",
"8600000US01522","ZCTA5 01522","3270","null","387","null",
"8600000US01523","ZCTA5 01523","7794","null","208","null",
"8600000US01524","ZCTA5 01524","6654","null","490","null",
"8600000US01525","ZCTA5 01525","544","null","250","null",
"8600000US01527","ZCTA5 01527","13732","null","28","null",
"8600000US01529","ZCTA5 01529","3256","null","31","null",
"8600000US01531","ZCTA5 01531","1211","null","153","null",
"8600000US01532","ZCTA5 01532","15056","null","27","null",
"8600000US01534","ZCTA5 01534","6296","null","625","null",
"8600000US01535","ZCTA5 01535","4774","null","23","null",
"8600000US01536","ZCTA5 01536","7576","null","535","null",
"8600000US01537","ZCTA5 01537","2201","null","446","null",
"8600000US01540","ZCTA5 01540","11581","null","497","null",
"8600000US01541","ZCTA5 01541","3455","null","25","null",
"8600000US01542","ZCTA5 01542","2567","null","465","null",
"8600000US01543","ZCTA5 01543","8685","null","38","null",
"8600000US01545","ZCTA5 01545","37086","null","196","null",
"8600000US01550","ZCTA5 01550","16887","null","32","null",
"8600000US01560","ZCTA5 01560","4396","null","295","null",
"8600000US01561","ZCTA5 01561","209","null","190","null",
"8600000US01562","ZCTA5 01562","11928","null","29","null",
"8600000US01564","ZCTA5 01564","8091","null","18","null",
"8600000US01566","ZCTA5 01566","5592","null","530","null",
"8600000US01568","ZCTA5 01568","7894","null","28","null",
"8600000US01569","ZCTA5 01569","14025","null","57","null",
"8600000US01570","ZCTA5 01570","16973","null","27","null",
"8600000US01571","ZCTA5 01571","11723","null","26","null",
"8600000US01581","ZCTA5 01581","19037","null","37","null",
"8600000US01583","ZCTA5 01583","7693","null","106","null",
"8600000US01585","ZCTA5 01585","4569","null","323","null",
"8600000US01588","ZCTA5 01588","9750","null","670","null",
"8600000US01590","ZCTA5 01590","9404","null","72","null",
"8600000US01602","ZCTA5 01602","22900","null","931","null",
"8600000US01603","ZCTA5 01603","19731","null","1226","null",
"8600000US01604","ZCTA5 01604","38191","null","1500","null",
"8600000US01605","ZCTA5 01605","28533","null","1128","null",
"8600000US01606","ZCTA5 01606","19896","null","957","null",
"8600000US01607","ZCTA5 01607","8167","null","659","null",
"8600000US01608","ZCTA5 01608","4471","null","691","null",
"8600000US01609","ZCTA5 01609","21628","null","1188","null",
"8600000US01610","ZCTA5 01610","22023","null","1128","null",
"8600000US01611","ZCTA5 01611","2277","null","387","null",
"8600000US01612","ZCTA5 01612","4900","null","19","null",
"8600000US01701","ZCTA5 01701","32590","null","765","null",
"8600000US01702","ZCTA5 01702","39799","null","780","null",
"8600000US01718","ZCTA5 01718","790","null","295","null",
"8600000US01719","ZCTA5 01719","5561","null","20","null",
"8600000US01720","ZCTA5 01720","22791","null","304","null",
"8600000US01721","ZCTA5 01721","17710","null","24","null",
"8600000US01730","ZCTA5 01730","14070","null","52","null",
"8600000US01731","ZCTA5 01731","2059","null","142","null",
"8600000US01740","ZCTA5 01740","5299","null","25","null",
"8600000US01741","ZCTA5 01741","5224","null","18","null",
"8600000US01742","ZCTA5 01742","19121","null","104","null",
"8600000US01745","ZCTA5 01745","595","null","215","null",
"8600000US01746","ZCTA5 01746","14724","null","40","null",
"8600000US01747","ZCTA5 01747","5947","null","38","null",
"8600000US01748","ZCTA5 01748","17598","null","30","null",
"8600000US01749","ZCTA5 01749","19887","null","23","null",
"8600000US01752","ZCTA5 01752","39736","null","24","null",
"8600000US01754","ZCTA5 01754","10754","null","29","null",
"8600000US01756","ZCTA5 01756","6115","null","23","null",
"8600000US01757","ZCTA5 01757","28883","null","35","null",
"8600000US01760","ZCTA5 01760","35761","null","197","null",
"8600000US01770","ZCTA5 01770","4316","null","24","null",
"8600000US01772","ZCTA5 01772","9526","null","217","null",
"8600000US01773","ZCTA5 01773","4884","null","157","null",
"8600000US01775","ZCTA5 01775","7133","null","27","null",
"8600000US01776","ZCTA5 01776","19122","null","25","null",
"8600000US01778","ZCTA5 01778","14088","null","194","null",
"8600000US01801","ZCTA5 01801","40359","null","91","null",
"8600000US01803","ZCTA5 01803","27650","null","67","null",
"8600000US01810","ZCTA5 01810","35816","null","55","null",
"8600000US01821","ZCTA5 01821","32797","null","525","null",
"8600000US01824","ZCTA5 01824","25754","null","359","null",
"8600000US01826","ZCTA5 01826","31294","null","99","null",
"8600000US01827","ZCTA5 01827","3366","null","20","null",
"8600000US01830","ZCTA5 01830","26305","null","892","null",
"8600000US01832","ZCTA5 01832","23270","null","825","null",
"8600000US01833","ZCTA5 01833","8695","null","20","null",
"8600000US01834","ZCTA5 01834","6780","null","25","null",
"8600000US01835","ZCTA5 01835","13958","null","544","null",
"8600000US01840","ZCTA5 01840","5573","null","567","null",
"8600000US01841","ZCTA5 01841","49367","null","1134","null",
"8600000US01843","ZCTA5 01843","25002","null","1129","null",
"8600000US01844","ZCTA5 01844","50282","null","59","null",
"8600000US01845","ZCTA5 01845","30842","null","28","null",
"8600000US01850","ZCTA5 01850","16151","null","730","null",
"8600000US01851","ZCTA5 01851","30686","null","908","null",
"8600000US01852","ZCTA5 01852","35532","null","909","null",
"8600000US01854","ZCTA5 01854","28937","null","1014","null",
"8600000US01860","ZCTA5 01860","6890","null","19","null",
"8600000US01862","ZCTA5 01862","10623","null","540","null",
"8600000US01863","ZCTA5 01863","9372","null","362","null",
"8600000US01864","ZCTA5 01864","15581","null","23","null",
"8600000US01867","ZCTA5 01867","25077","null","85","null",
"8600000US01876","ZCTA5 01876","30878","null","130","null",
"8600000US01879","ZCTA5 01879","12443","null","100","null",
"8600000US01880","ZCTA5 01880","26720","null","92","null",
"8600000US01886","ZCTA5 01886","24342","null","42","null",
"8600000US01887","ZCTA5 01887","23377","null","45","null",
"8600000US01890","ZCTA5 01890","22738","null","35","null",
"8600000US01901","ZCTA5 01901","2135","null","469","null",
"8600000US01902","ZCTA5 01902","49641","null","1298","null",
"8600000US01904","ZCTA5 01904","17294","null","1097","null",
"8600000US01905","ZCTA5 01905","24580","null","922","null",
"8600000US01906","ZCTA5 01906","28222","null","42","null",
"8600000US01907","ZCTA5 01907","15278","null","187","null",
"8600000US01908","ZCTA5 01908","3502","null","20","null",
"8600000US01913","ZCTA5 01913","17434","null","46","null",
"8600000US01915","ZCTA5 01915","41885","null","25","null",
"8600000US01921","ZCTA5 01921","8282","null","16","null",
"8600000US01922","ZCTA5 01922","3910","null","437","null",
"8600000US01923","ZCTA5 01923","27406","null","44","null",
"8600000US01929","ZCTA5 01929","3745","null","20","null",
"8600000US01930","ZCTA5 01930","30162","null","26","null",
"8600000US01937","ZCTA5 01937","180","null","35","null",
"8600000US01938","ZCTA5 01938","13963","null","25","null",
"8600000US01940","ZCTA5 01940","13474","null","213","null",
"8600000US01944","ZCTA5 01944","5383","null","18","null",
"8600000US01945","ZCTA5 01945","20500","null","40","null",
"8600000US01949","ZCTA5 01949","9872","null","17","null",
"8600000US01950","ZCTA5 01950","18077","null","30","null",
"8600000US01951","ZCTA5 01951","3150","null","439","null",
"8600000US01952","ZCTA5 01952","9379","null","83","null",
"8600000US01960","ZCTA5 01960","52628","null","168","null",
"8600000US01966","ZCTA5 01966","7231","null","18","null",
"8600000US01969","ZCTA5 01969","6372","null","19","null",
"8600000US01970","ZCTA5 01970","43033","null","158","null",
"8600000US01982","ZCTA5 01982","8031","null","22","null",
"8600000US01983","ZCTA5 01983","6568","null","27","null",
"8600000US01984","ZCTA5 01984","5240","null","21","null",
"8600000US01985","ZCTA5 01985","4631","null","17","null",
"8600000US02019","ZCTA5 02019","17108","null","29","null",
"8600000US02021","ZCTA5 02021","23369","null","66","null",
"8600000US02025","ZCTA5 02025","8484","null","22","null",
"8600000US02026","ZCTA5 02026","25265","null","57","null",
"8600000US02030","ZCTA5 02030","6044","null","25","null",
